"log.r","log.Cr.2","log.Cr.3","log.Cr.4","log.Cr.5","log.Cr.6","log.Cr.7","log.Cr.8","log.Cr.9","log.Cr.10","log.Cr.11","log.Cr.12","log.Cr.13","log.Cr.14","log.Cr.15","log.Cr.16","log.Cr.17","log.Cr.18","log.Cr.19","log.Cr.20"
-8.84848484848485,-7.10377598920626,-13.7762675574028,-20.1913981319603,-26.3984092057537,-32.4332367977802,-38.3365084001768,-44.1479750161823,-49.8988731504109,-55.6103092659935,-61.2954452825295,-66.9622517682549,-72.61557490017,-78.2584382862142,-83.8928066564684,-89.5200226747294,-95.1410559187104,-100.756645775412,-106.367384394568,-111.97376549416
-8.72727272727273,-6.99043337313893,-13.5589515432304,-19.8824608660318,-26.0153803183095,-31.993862345259,-37.853405846478,-43.6273208764163,-49.3423415403011,-55.0174286923907,-60.6650989858632,-66.293370795494,-71.9073735756348,-77.5104449703089,-83.1048194761382,-88.6920467039181,-94.273243449899,-99.8492464606541,-105.420706190918,-110.988145293399
-8.60606060606061,-6.87293532347267,-13.3414275509882,-19.5870853894549,-25.6662565866129,-31.6108589378722,-37.4481950796158,-43.2038795881519,-48.9000140868495,-54.5538006410828,-60.1776588134527,-65.780177442223,-71.3671909658773,-76.9426602431907,-82.509301953566,-88.0690107737312,-93.6231349880986,-99.1726551211205,-104.718300179835,-110.260624077981
-8.48484848484848,-6.75839487852452,-13.1209879561151,-19.2689983153109,-25.2622370235472,-31.1343602606736,-36.9112465317946,-42.6149278693348,-48.2636454631056,-53.8716379920143,-59.4494884249196,-65.0048284184053,-70.5430870062073,-76.0681199613442,-81.5826821893454,-87.0887627198526,-92.5878161644928,-98.0809213345423,-103.568890171678,-109.052343142367
-8.36363636363636,-6.63540930832745,-12.8898421866062,-18.9405918914242,-24.8510605664429,-30.6555557962383,-36.3776004645493,-42.0353318764868,-47.6431175643408,-53.2122002331553,-58.7512058656757,-64.2666580036762,-69.7634597969013,-75.2453009860992,-80.714976720952,-86.1746259481129,-91.6259051020513,-97.0701132019922,-102.5082817867,-107.941239870592
-8.24242424242424,-6.51683482031475,-12.6649681539386,-18.6183651768408,-24.439050654532,-30.1602961549122,-35.8041475879147,-41.386759386398,-46.9203156047759,-52.4139887993239,-57.8746281575066,-63.3073271965006,-68.7158873725502,-74.1031809134415,-79.4714246671949,-84.8223816222851,-90.1575063944858,-95.4780481967358,-100.785121716347,-106.079753813395
-8.12121212121212,-6.39848672751343,-12.4357146772933,-18.2850902905156,-24.0095282039058,-29.6413498095088,-35.2006030618975,-40.7011483745093,-46.1531159284487,-51.5641364827222,-56.9401025825379,-62.2856989077791,-67.6047790592418,-72.9006229551682,-78.1761009509265,-83.4337698201382,-88.6759237925808,-93.9046197621707,-99.1216905131918,-104.328754631127
-8,-6.27917511237959,-12.2028230020966,-17.9445607576273,-23.567570069254,-29.1038642816174,-34.5729419715717,-39.9879838361883,-45.3583909480018,-50.6910864252098,-55.9913227677222,-61.2632307157898,-66.5101950629597,-71.7351017556249,-76.9404897144094,-82.1286361916732,-87.3015998631074,-92.4612403678373,-97.6092273074057,-102.747046625258
-7.87878787878788,-6.15813700164902,-11.9677009731814,-17.6002968949389,-23.1181787767163,-28.5526171714509,-33.9223596420347,-39.2398192555757,-44.5136831864888,-49.7502840289424,-54.954448613094,-60.130057468888,-65.2804063539613,-70.4084223336072,-75.5167762486426,-80.6079280726767,-85.6841352906693,-90.7474464391547,-95.7996936946653,-100.842491380415
-7.75757575757576,-6.04008617572744,-11.7362922005623,-17.2596936550421,-22.6730592722625,-28.0079730491727,-33.2833953809865,-38.5119229851514,-43.7024034059179,-48.8612724199637,-53.9933548054103,-59.1023848479614,-64.1913529046115,-69.2627345164968,-74.3186386282984,-79.360900930954,-84.3911412850077,-89.4107988258718,-94.4211541323431,-99.4233445617091
-7.63636363636364,-5.91715648183113,-11.4946741269033,-16.9019007313079,-22.201580144975,-27.4254964979774,-32.5930260572119,-37.7172555744261,-42.8074726578464,-47.8704315658574,-52.9111244543875,-57.9332985154448,-62.9398145038871,-67.9328969284074,-72.9143084738043,-77.8854714912631,-82.8475527795263,-87.801523100372,-92.7481994143339,-97.6882753506053
